"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-06-15","60","67","53"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-06-16","56","68","45"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-06-17","62","76","49"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-06-18","63","78","48"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-06-19","67","76","57"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-06-20","68","80","56"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-06-21","65","75","56"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-06-22","59","69","49"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-06-23","58","68","47"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-06-24","63","79","47"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-06-25","67","79","55"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-06-26","65","69","60"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-06-27","75","83","68"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-06-28","73","80","66"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-06-29","75","86","64"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-06-30","69","78","59"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-07-01","60","65","54"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-07-02","58","67","48"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-07-03","57","66","48"
